date,adj_close,close,high,low,open,volume,symbol
2020-06-15,425.5,425.5,426.49,415.42,421.4,4467900,NFLX
2020-06-16,436.13,436.13,437.96,425.18,425.76,5507900,NFLX
2020-06-17,447.77,447.77,450.46,439.22,441.82,6529600,NFLX
2020-06-18,449.87,449.87,452.76,442.8,448.73,4277600,NFLX
2020-06-19,453.72,453.72,453.97,445.6,449.12,5934500,NFLX
2020-06-22,468.04,468.04,468.59,454.21,455.01,6272100,NFLX
2020-06-23,466.26,466.26,474.01,464.5,466.5,5948400,NFLX
2020-06-24,457.85,457.85,472.36,454.0,468.54,4826200,NFLX
2020-06-25,465.91,465.91,467.01,454.0,458.86,4134500,NFLX
2020-06-26,443.4,443.4,468.03,442.24,466.39,6804700,NFLX
2020-06-29,447.24,447.24,447.67,432.14,445.23,4844000,NFLX
2020-06-30,455.04,455.04,457.59,447.0,450.02,4198500,NFLX
2020-07-01,485.64,485.64,488.23,454.0,454.0,9705900,NFLX
2020-07-02,476.89,476.89,492.28,475.53,485.64,6351500,NFLX
2020-07-06,493.81,493.81,499.5,479.8,480.77,7839000,NFLX
2020-07-07,493.16,493.16,504.82,490.83,497.31,5669900,NFLX
2020-07-08,502.78,502.78,505.1,493.81,498.58,5691700,NFLX
2020-07-09,507.76,507.76,510.0,495.78,508.4,5840500,NFLX
2020-07-10,548.73,548.73,555.88,511.28,519.73,21605600,NFLX
2020-07-13,525.5,525.5,575.37,520.96,567.98,18399000,NFLX
2020-07-14,524.88,524.88,525.5,490.49,517.08,15083300,NFLX
2020-07-15,523.26,523.26,529.0,510.18,516.3,10066700,NFLX
2020-07-16,527.39,527.39,535.54,504.36,526.48,24499000,NFLX
2020-07-17,492.99,492.99,503.59,484.14,494.87,24991400,NFLX
2020-07-20,502.41,502.41,504.5,484.2,489.14,11940300,NFLX
2020-07-21,490.1,490.1,506.22,488.61,506.0,9113700,NFLX
2020-07-22,489.82,489.82,497.2,487.2,492.19,6954100,NFLX
2020-07-23,477.58,477.58,491.9,472.02,491.13,7722000,NFLX
2020-07-24,480.45,480.45,487.17,467.54,468.77,7746200,NFLX
2020-07-27,495.65,495.65,496.92,482.31,484.51,7863100,NFLX
2020-07-28,488.51,488.51,497.79,487.76,496.02,5986700,NFLX
2020-07-29,484.48,484.48,494.92,484.13,492.25,6611800,NFLX
